"","sdate","edate","duration","mag","area","lat","lon"
"1",1997-07-29,1997-11-05,99,0.32,1656733.99,30.3541666666667,-146.395833333333
"2",1998-07-08,1998-10-06,90,0.2,693705.98,27.4375,-154.270833333333
"3",1999-08-01,1999-10-12,72,0.28,671089.44,31.0625,-137.729166666667
"4",2000-08-15,2000-11-15,92,0.33,778922.96,30.3958333333333,-152.979166666667
"5",2002-06-15,2002-09-10,87,0.15,788612.58,30.2291666666667,-145.4375
"6",2003-07-26,2003-10-08,74,0.2,1228818.15,31.6875,-139.5625
"7",2004-06-03,2004-08-11,69,0.27,1702928.43,31.5625,-141.354166666667
"8",2005-07-02,2005-10-02,92,0.14,418808.74,22.7291666666667,-153.645833333333
"9",2006-07-22,2006-11-11,112,0.16,1025209.33,31.5625,-152.729166666667
"10",2007-08-15,2007-11-07,84,0.31,1226333.67,31.6041666666667,-156.145833333333
"11",2008-08-10,2008-10-22,73,0.22,1013234.57,34.0625,-153.1875
"12",2009-06-13,2009-10-10,119,0.15,482615.84,26.2708333333333,-143.604166666667
"13",2010-07-01,2010-09-28,89,1.42,364756.7,34.4791666666667,-130.4375
"14",2011-09-07,2011-11-12,66,0.16,1874401.66,22.7291666666667,-151.270833333333
"15",2012-09-01,2012-11-06,66,0.14,443591.32,26.9791666666667,-156.6875
"16",2013-07-10,2013-10-02,84,0.18,586153.88,26.9375,-151.8125
"17",2014-06-14,2014-09-01,79,0.28,740805.3,31.8958333333333,-137.729166666667
"18",2015-08-01,2015-10-01,61,0.1,433621.75,23.8958333333333,-155.770833333333
"19",2016-08-02,2016-09-25,54,0.09,625189.6,23.8125,-148.020833333333
"20",2017-07-30,2017-09-05,37,0.12,1281094.57,26.1875,-159.5625
"21",2018-07-16,2018-10-27,103,0.22,3177656.55,24.6875,-149.104166666667
"22",2019-06-11,2019-09-08,89,0.34,2062359.59,30.9791666666667,-137.895833333333
"23",2020-06-01,2020-10-10,131,0.35,1486564.34,34.5625,-153.104166666667
"24",2021-08-01,2021-10-01,61,0.15,404088.68,33.4791666666667,-149.729166666667
"25",2022-07-01,2022-10-10,101,0.18,482983.13,23.2291666666667,-153.5625
